"";"Model";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"3921";"2. Neyman known";411;88;323;450;550
"3922";"3. RSIHR Known";443;79;364;371;629
"3923";"4. Rosenberger known";538;28;510;141;859
"3924";"5. Optimal adjusted";388;101;287;514;486
"3925";"1. Random";407;119;288;513;487
"3926";"6. Biased  coin";394;111;283;500;500
"3927";"2. Neyman known";413;101;312;456;544
"3928";"3. RSIHR Known";457;83;374;364;636
"3929";"4. Rosenberger known";530;32;498;136;864
"3930";"5. Optimal adjusted";403;116;287;522;478
"3931";"1. Random";412;94;318;471;529
"3932";"6. Biased  coin";399;106;293;500;500
"3933";"2. Neyman known";402;94;308;461;539
"3934";"3. RSIHR Known";469;68;401;342;658
"3935";"4. Rosenberger known";541;35;506;146;854
"3936";"5. Optimal adjusted";404;113;291;526;474
"3937";"1. Random";419;110;309;495;505
"3938";"6. Biased  coin";408;113;295;499;502
"3939";"2. Neyman known";431;99;332;433;567
"3940";"3. RSIHR Known";447;91;356;391;609
"3941";"4. Rosenberger known";536;35;501;154;846
"3942";"5. Optimal adjusted";376;116;260;546;454
"3943";"1. Random";406;112;294;504;496
"3944";"6. Biased  coin";397;105;292;501;499
"3945";"2. Neyman known";439;92;347;420;580
"3946";"3. RSIHR Known";482;89;393;380;620
"3947";"4. Rosenberger known";544;35;509;137;863
"3948";"5. Optimal adjusted";401;119;282;533;467
"3949";"1. Random";412;105;307;488;512
"3950";"6. Biased  coin";408;103;305;501;500
"3951";"2. Neyman known";421;105;316;458;542
"3952";"3. RSIHR Known";453;87;366;375;625
"3953";"4. Rosenberger known";526;33;493;164;836
"3954";"5. Optimal adjusted";398;122;276;535;465
"3955";"1. Random";396;98;298;497;503
"3956";"6. Biased  coin";377;89;288;501;501
"3957";"2. Neyman known";378;83;295;475;525
"3958";"3. RSIHR Known";446;75;371;373;627
"3959";"4. Rosenberger known";511;23;488;153;847
"3960";"5. Optimal adjusted";384;113;271;539;461
"3961";"1. Random";387;98;289;502;498
"3962";"6. Biased  coin";405;107;298;498;503
"3963";"2. Neyman known";406;85;321;450;550
"3964";"3. RSIHR Known";451;69;382;363;637
"3965";"4. Rosenberger known";530;26;504;143;857
"3966";"5. Optimal adjusted";384;103;281;536;464
"3967";"1. Random";394;94;300;478;522
"3968";"6. Biased  coin";388;100;288;502;499
"3969";"2. Neyman known";395;76;319;448;552
"3970";"3. RSIHR Known";419;66;353;353;647
"3971";"4. Rosenberger known";525;31;494;149;851
"3972";"5. Optimal adjusted";379;107;272;544;456
"3973";"1. Random";402;104;298;495;505
"3974";"6. Biased  coin";396;104;292;500;500
"3975";"2. Neyman known";410;90;320;471;529
"3976";"3. RSIHR Known";461;79;382;370;630
"3977";"4. Rosenberger known";539;31;508;146;854
"3978";"5. Optimal adjusted";377;110;267;533;467
"3979";"1. Random";412;116;296;509;491
"3980";"6. Biased  coin";407;105;302;501;499
"3981";"2. Neyman known";418;89;329;445;555
"3982";"3. RSIHR Known";463;72;391;364;636
"3983";"4. Rosenberger known";533;27;506;146;854
"3984";"5. Optimal adjusted";395;112;283;531;469
"3985";"1. Random";392;105;287;501;499
"3986";"6. Biased  coin";365;94;271;497;503
"3987";"2. Neyman known";410;92;318;436;564
"3988";"3. RSIHR Known";436;77;359;385;615
"3989";"4. Rosenberger known";524;24;500;126;874
"3990";"5. Optimal adjusted";375;121;254;561;439
"3991";"1. Random";387;88;299;491;509
"3992";"6. Biased  coin";378;91;287;500;500
"3993";"2. Neyman known";423;94;329;433;567
"3994";"3. RSIHR Known";436;74;362;371;629
"3995";"4. Rosenberger known";534;34;500;141;859
"3996";"5. Optimal adjusted";370;111;259;544;456
"3997";"1. Random";410;115;295;500;500
"3998";"6. Biased  coin";383;102;281;500;500
"3999";"2. Neyman known";397;84;313;456;544
"4000";"3. RSIHR Known";446;78;368;359;641
"4001";"4. Rosenberger known";540;32;508;135;865
"4002";"5. Optimal adjusted";373;126;247;562;438
"4003";"1. Random";394;110;284;515;485
"4004";"6. Biased  coin";398;107;291;499;501
"4005";"2. Neyman known";405;91;314;453;547
"4006";"3. RSIHR Known";435;67;368;373;627
"4007";"4. Rosenberger known";527;24;503;148;852
"4008";"5. Optimal adjusted";386;111;275;522;478
"4009";"1. Random";390;105;285;479;521
"4010";"6. Biased  coin";377;105;272;501;499
"4011";"2. Neyman known";401;88;313;432;568
"4012";"3. RSIHR Known";425;81;344;378;622
"4013";"4. Rosenberger known";518;25;493;126;874
"4014";"5. Optimal adjusted";373;119;254;536;464
"4015";"1. Random";384;105;279;518;482
"4016";"6. Biased  coin";414;104;310;499;501
"4017";"2. Neyman known";417;101;316;467;533
"4018";"3. RSIHR Known";473;81;392;364;636
"4019";"4. Rosenberger known";536;31;505;158;842
"4020";"5. Optimal adjusted";384;122;262;545;455
"4021";"1. Random";389;102;287;521;479
"4022";"6. Biased  coin";390;103;287;502;499
"4023";"2. Neyman known";427;91;336;446;554
"4024";"3. RSIHR Known";459;83;376;382;618
"4025";"4. Rosenberger known";528;33;495;154;846
"4026";"5. Optimal adjusted";359;107;252;567;433
"4027";"1. Random";395;106;289;512;488
"4028";"6. Biased  coin";402;96;306;500;501
"4029";"2. Neyman known";433;83;350;419;581
"4030";"3. RSIHR Known";467;71;396;346;654
"4031";"4. Rosenberger known";551;29;522;134;866
"4032";"5. Optimal adjusted";383;100;283;537;463
"4033";"1. Random";428;107;321;494;506
"4034";"6. Biased  coin";412;96;316;500;500
"4035";"2. Neyman known";406;77;329;440;560
"4036";"3. RSIHR Known";449;75;374;381;619
"4037";"4. Rosenberger known";551;25;526;141;859
"4038";"5. Optimal adjusted";404;105;299;522;478
"4039";"1. Random";412;112;300;505;495
"4040";"6. Biased  coin";395;106;289;503;498
"4041";"2. Neyman known";426;106;320;465;535
"4042";"3. RSIHR Known";464;80;384;371;629
"4043";"4. Rosenberger known";525;27;498;142;858
"4044";"5. Optimal adjusted";382;102;280;538;462
"4045";"1. Random";357;96;261;530;470
"4046";"6. Biased  coin";384;91;293;499;501
"4047";"2. Neyman known";414;74;340;413;587
"4048";"3. RSIHR Known";448;65;383;337;663
"4049";"4. Rosenberger known";528;26;502;127;873
"4050";"5. Optimal adjusted";365;103;262;537;463
"4051";"1. Random";397;96;301;510;490
"4052";"6. Biased  coin";411;112;299;500;500
"4053";"2. Neyman known";435;101;334;459;541
"4054";"3. RSIHR Known";462;67;395;373;627
"4055";"4. Rosenberger known";556;30;526;145;855
"4056";"5. Optimal adjusted";401;109;292;525;475
"4057";"1. Random";425;109;316;494;506
"4058";"6. Biased  coin";420;105;315;504;497
"4059";"2. Neyman known";433;102;331;457;543
"4060";"3. RSIHR Known";485;73;412;352;648
"4061";"4. Rosenberger known";557;33;524;157;843
"4062";"5. Optimal adjusted";410;113;297;534;466
"4063";"1. Random";415;103;312;495;505
"4064";"6. Biased  coin";407;105;302;501;500
"4065";"2. Neyman known";424;85;339;435;565
"4066";"3. RSIHR Known";464;77;387;368;632
"4067";"4. Rosenberger known";548;30;518;134;866
"4068";"5. Optimal adjusted";396;110;286;528;472
"4069";"1. Random";453;115;338;481;519
"4070";"6. Biased  coin";397;98;299;504;497
"4071";"2. Neyman known";418;102;316;463;537
"4072";"3. RSIHR Known";470;67;403;348;652
"4073";"4. Rosenberger known";551;32;519;152;848
"4074";"5. Optimal adjusted";398;119;279;524;476
"4075";"1. Random";399;108;291;502;498
"4076";"6. Biased  coin";420;116;304;501;500
"4077";"2. Neyman known";419;90;329;444;556
"4078";"3. RSIHR Known";451;80;371;363;637
"4079";"4. Rosenberger known";545;44;501;157;843
"4080";"5. Optimal adjusted";392;113;279;525;475
"4081";"1. Random";372;78;294;479;521
"4082";"6. Biased  coin";394;97;297;502;499
"4083";"2. Neyman known";404;77;327;442;558
"4084";"3. RSIHR Known";423;69;354;377;623
"4085";"4. Rosenberger known";505;28;477;161;839
"4086";"5. Optimal adjusted";373;90;283;525;475
"4087";"1. Random";421;98;323;492;508
"4088";"6. Biased  coin";410;104;306;500;501
"4089";"2. Neyman known";402;96;306;480;520
"4090";"3. RSIHR Known";457;77;380;366;634
"4091";"4. Rosenberger known";560;23;537;126;874
"4092";"5. Optimal adjusted";393;118;275;560;440
"4093";"1. Random";406;115;291;494;506
"4094";"6. Biased  coin";404;117;287;501;500
"4095";"2. Neyman known";401;93;308;466;534
"4096";"3. RSIHR Known";445;72;373;372;628
"4097";"4. Rosenberger known";527;28;499;143;857
"4098";"5. Optimal adjusted";398;120;278;543;457
"4099";"1. Random";421;113;308;507;493
"4100";"6. Biased  coin";408;102;306;501;500
"4101";"2. Neyman known";407;94;313;464;536
"4102";"3. RSIHR Known";470;66;404;360;640
"4103";"4. Rosenberger known";558;25;533;125;875
"4104";"5. Optimal adjusted";390;102;288;524;476
"4105";"1. Random";398;97;301;476;524
"4106";"6. Biased  coin";383;97;286;500;500
"4107";"2. Neyman known";407;87;320;448;552
"4108";"3. RSIHR Known";443;75;368;371;629
"4109";"4. Rosenberger known";532;33;499;157;843
"4110";"5. Optimal adjusted";401;127;274;530;470
"4111";"1. Random";412;114;298;505;495
"4112";"6. Biased  coin";404;106;298;503;499
"4113";"2. Neyman known";433;97;336;453;547
"4114";"3. RSIHR Known";472;69;403;344;656
"4115";"4. Rosenberger known";555;30;525;134;866
"4116";"5. Optimal adjusted";412;120;292;535;465
"4117";"1. Random";402;100;302;491;509
"4118";"6. Biased  coin";379;94;285;501;500
"4119";"2. Neyman known";426;90;336;447;553
"4120";"3. RSIHR Known";458;69;389;343;657
"4121";"4. Rosenberger known";526;26;500;139;861
"4122";"5. Optimal adjusted";359;88;271;520;480
"4123";"1. Random";389;103;286;532;468
"4124";"6. Biased  coin";395;108;287;498;503
"4125";"2. Neyman known";404;90;314;446;554
"4126";"3. RSIHR Known";463;73;390;364;636
"4127";"4. Rosenberger known";530;29;501;141;859
"4128";"5. Optimal adjusted";368;115;253;558;442
"4129";"1. Random";375;88;287;497;503
"4130";"6. Biased  coin";397;96;301;503;500
"4131";"2. Neyman known";401;90;311;454;546
"4132";"3. RSIHR Known";441;65;376;345;655
"4133";"4. Rosenberger known";513;24;489;143;857
"4134";"5. Optimal adjusted";368;107;261;536;464
"4135";"1. Random";388;112;276;521;479
"4136";"6. Biased  coin";387;96;291;500;500
"4137";"2. Neyman known";402;95;307;473;527
"4138";"3. RSIHR Known";433;76;357;379;621
"4139";"4. Rosenberger known";519;36;483;162;838
"4140";"5. Optimal adjusted";376;106;270;537;463
"4141";"1. Random";373;84;289;502;498
"4142";"6. Biased  coin";385;95;290;500;501
"4143";"2. Neyman known";412;69;343;434;566
"4144";"3. RSIHR Known";439;62;377;380;620
"4145";"4. Rosenberger known";538;27;511;140;860
"4146";"5. Optimal adjusted";375;102;273;534;466
"4147";"1. Random";410;104;306;482;518
"4148";"6. Biased  coin";418;112;306;499;501
"4149";"2. Neyman known";446;106;340;460;540
"4150";"3. RSIHR Known";475;69;406;338;662
"4151";"4. Rosenberger known";570;37;533;136;864
"4152";"5. Optimal adjusted";413;115;298;521;479
"4153";"1. Random";385;108;277;529;471
"4154";"6. Biased  coin";384;89;295;500;500
"4155";"2. Neyman known";418;88;330;466;534
"4156";"3. RSIHR Known";449;92;357;402;598
"4157";"4. Rosenberger known";560;39;521;146;854
"4158";"5. Optimal adjusted";396;108;288;529;471
"4159";"1. Random";382;102;280;518;482
"4160";"6. Biased  coin";426;118;308;500;500
"4161";"2. Neyman known";412;103;309;471;529
"4162";"3. RSIHR Known";450;79;371;362;638
"4163";"4. Rosenberger known";536;30;506;138;862
"4164";"5. Optimal adjusted";366;118;248;567;433
"4165";"1. Random";418;106;312;495;505
"4166";"6. Biased  coin";414;103;311;500;500
"4167";"2. Neyman known";416;81;335;453;547
"4168";"3. RSIHR Known";468;74;394;379;621
"4169";"4. Rosenberger known";565;29;536;128;872
"4170";"5. Optimal adjusted";382;110;272;558;442
"4171";"1. Random";389;106;283;498;502
"4172";"6. Biased  coin";382;99;283;500;500
"4173";"2. Neyman known";417;97;320;456;544
"4174";"3. RSIHR Known";419;65;354;382;618
"4175";"4. Rosenberger known";543;42;501;151;849
"4176";"5. Optimal adjusted";381;111;270;542;458
"4177";"1. Random";414;106;308;511;489
"4178";"6. Biased  coin";409;103;306;501;500
"4179";"2. Neyman known";411;107;304;479;521
"4180";"3. RSIHR Known";459;77;382;363;637
"4181";"4. Rosenberger known";538;37;501;161;839
"4182";"5. Optimal adjusted";399;105;294;507;493
"4183";"1. Random";400;98;302;494;506
"4184";"6. Biased  coin";406;106;300;502;500
"4185";"2. Neyman known";389;83;306;456;544
"4186";"3. RSIHR Known";441;59;382;341;659
"4187";"4. Rosenberger known";520;28;492;160;840
"4188";"5. Optimal adjusted";371;111;260;561;439
"4189";"1. Random";400;110;290;484;516
"4190";"6. Biased  coin";380;108;272;503;499
"4191";"2. Neyman known";405;95;310;460;540
"4192";"3. RSIHR Known";438;72;366;375;625
"4193";"4. Rosenberger known";525;35;490;149;851
"4194";"5. Optimal adjusted";400;115;285;516;484
"4195";"1. Random";404;104;300;511;489
"4196";"6. Biased  coin";409;116;293;502;500
"4197";"2. Neyman known";434;93;341;442;558
"4198";"3. RSIHR Known";445;72;373;375;625
"4199";"4. Rosenberger known";552;30;522;134;866
"4200";"5. Optimal adjusted";405;123;282;523;477
"4201";"1. Random";388;90;298;490;510
"4202";"6. Biased  coin";409;104;305;499;501
"4203";"2. Neyman known";445;91;354;431;569
"4204";"3. RSIHR Known";452;81;371;368;632
"4205";"4. Rosenberger known";539;22;517;134;866
"4206";"5. Optimal adjusted";371;106;265;525;475
"4207";"1. Random";396;96;300;488;512
"4208";"6. Biased  coin";430;111;319;500;501
"4209";"2. Neyman known";384;96;288;491;509
"4210";"3. RSIHR Known";436;72;364;386;614
"4211";"4. Rosenberger known";539;35;504;157;843
"4212";"5. Optimal adjusted";392;111;281;527;473
"4213";"1. Random";392;99;293;480;520
"4214";"6. Biased  coin";384;103;281;500;500
"4215";"2. Neyman known";387;88;299;469;531
"4216";"3. RSIHR Known";431;74;357;377;623
"4217";"4. Rosenberger known";523;22;501;122;878
"4218";"5. Optimal adjusted";368;101;267;534;466
"4219";"1. Random";409;111;298;523;477
"4220";"6. Biased  coin";419;109;310;500;500
"4221";"2. Neyman known";427;91;336;444;556
"4222";"3. RSIHR Known";469;78;391;359;641
"4223";"4. Rosenberger known";551;18;533;114;886
"4224";"5. Optimal adjusted";395;113;282;532;468
"4225";"1. Random";400;109;291;507;493
"4226";"6. Biased  coin";392;113;279;501;500
"4227";"2. Neyman known";415;96;319;439;561
"4228";"3. RSIHR Known";444;80;364;362;638
"4229";"4. Rosenberger known";542;34;508;131;869
"4230";"5. Optimal adjusted";392;105;287;513;487
"4231";"1. Random";377;93;284;506;494
"4232";"6. Biased  coin";367;86;281;501;499
"4233";"2. Neyman known";404;75;329;438;562
"4234";"3. RSIHR Known";426;77;349;378;622
"4235";"4. Rosenberger known";536;39;497;146;854
"4236";"5. Optimal adjusted";376;105;271;527;473
"4237";"1. Random";398;126;272;524;476
"4238";"6. Biased  coin";408;106;302;500;500
"4239";"2. Neyman known";419;105;314;464;536
"4240";"3. RSIHR Known";463;84;379;373;627
"4241";"4. Rosenberger known";547;33;514;141;859
"4242";"5. Optimal adjusted";377;119;258;552;448
"4243";"1. Random";413;96;317;478;522
"4244";"6. Biased  coin";409;105;304;501;500
"4245";"2. Neyman known";436;98;338;445;555
"4246";"3. RSIHR Known";465;82;383;381;619
"4247";"4. Rosenberger known";545;30;515;157;843
"4248";"5. Optimal adjusted";425;109;316;526;474
"4249";"1. Random";401;113;288;508;492
"4250";"6. Biased  coin";411;107;304;500;500
"4251";"2. Neyman known";407;92;315;462;538
"4252";"3. RSIHR Known";466;84;382;358;642
"4253";"4. Rosenberger known";536;20;516;124;876
"4254";"5. Optimal adjusted";400;120;280;537;463
"4255";"1. Random";409;113;296;510;490
"4256";"6. Biased  coin";402;105;297;501;500
"4257";"2. Neyman known";422;94;328;451;549
"4258";"3. RSIHR Known";454;76;378;358;642
"4259";"4. Rosenberger known";539;29;510;135;865
"4260";"5. Optimal adjusted";399;111;288;529;471
"4261";"1. Random";381;91;290;474;526
"4262";"6. Biased  coin";387;91;296;499;501
"4263";"2. Neyman known";406;82;324;444;556
"4264";"3. RSIHR Known";447;72;375;388;612
"4265";"4. Rosenberger known";540;33;507;135;865
"4266";"5. Optimal adjusted";395;104;291;509;491
"4267";"1. Random";401;105;296;523;477
"4268";"6. Biased  coin";396;102;294;501;500
"4269";"2. Neyman known";425;92;333;433;567
"4270";"3. RSIHR Known";450;71;379;381;619
"4271";"4. Rosenberger known";549;33;516;146;854
"4272";"5. Optimal adjusted";389;107;282;546;454
"4273";"1. Random";413;110;303;496;504
"4274";"6. Biased  coin";421;123;298;501;500
"4275";"2. Neyman known";424;102;322;465;535
"4276";"3. RSIHR Known";451;88;363;372;628
"4277";"4. Rosenberger known";556;30;526;129;871
"4278";"5. Optimal adjusted";400;120;280;541;459
"4279";"1. Random";405;96;309;505;495
"4280";"6. Biased  coin";394;97;297;501;500
"4281";"2. Neyman known";423;87;336;443;557
"4282";"3. RSIHR Known";458;75;383;359;641
"4283";"4. Rosenberger known";552;32;520;142;858
"4284";"5. Optimal adjusted";354;92;262;549;451
"4285";"1. Random";381;100;281;492;508
"4286";"6. Biased  coin";391;98;293;502;500
"4287";"2. Neyman known";411;93;318;442;558
"4288";"3. RSIHR Known";438;71;367;372;628
"4289";"4. Rosenberger known";532;30;502;133;867
"4290";"5. Optimal adjusted";370;106;264;540;460
"4291";"1. Random";392;89;303;488;512
"4292";"6. Biased  coin";384;86;298;501;500
"4293";"2. Neyman known";418;78;340;450;550
"4294";"3. RSIHR Known";463;70;393;368;632
"4295";"4. Rosenberger known";551;32;519;149;851
"4296";"5. Optimal adjusted";397;99;298;524;476
"4297";"1. Random";421;119;302;500;500
"4298";"6. Biased  coin";406;107;299;503;498
"4299";"2. Neyman known";425;110;315;480;520
"4300";"3. RSIHR Known";473;99;374;376;624
"4301";"4. Rosenberger known";538;35;503;166;834
"4302";"5. Optimal adjusted";424;130;294;525;475
"4303";"1. Random";424;93;331;451;549
"4304";"6. Biased  coin";400;92;308;501;500
"4305";"2. Neyman known";414;81;333;450;550
"4306";"3. RSIHR Known";455;77;378;373;627
"4307";"4. Rosenberger known";543;38;505;154;846
"4308";"5. Optimal adjusted";395;108;287;535;465
"4309";"1. Random";408;96;312;498;502
"4310";"6. Biased  coin";398;94;304;500;501
"4311";"2. Neyman known";412;83;329;441;559
"4312";"3. RSIHR Known";459;77;382;371;629
"4313";"4. Rosenberger known";531;28;503;154;846
"4314";"5. Optimal adjusted";384;108;276;542;458
"4315";"1. Random";395;95;300;497;503
"4316";"6. Biased  coin";384;107;277;501;500
"4317";"2. Neyman known";400;87;313;434;566
"4318";"3. RSIHR Known";421;74;347;378;622
"4319";"4. Rosenberger known";516;24;492;138;862
"4320";"5. Optimal adjusted";376;110;266;536;464
"4321";"1. Random";432;106;326;473;527
"4322";"6. Biased  coin";398;103;295;503;497
"4323";"2. Neyman known";423;86;337;462;538
"4324";"3. RSIHR Known";475;80;395;346;654
"4325";"4. Rosenberger known";565;23;542;113;887
"4326";"5. Optimal adjusted";389;111;278;539;461
"4327";"1. Random";392;95;297;494;506
"4328";"6. Biased  coin";412;105;307;500;500
"4329";"2. Neyman known";410;90;320;445;555
"4330";"3. RSIHR Known";450;63;387;353;647
"4331";"4. Rosenberger known";535;19;516;128;872
"4332";"5. Optimal adjusted";351;106;245;555;445
"4333";"1. Random";430;100;330;478;522
"4334";"6. Biased  coin";410;110;300;501;499
"4335";"2. Neyman known";435;96;339;465;535
"4336";"3. RSIHR Known";459;77;382;377;623
"4337";"4. Rosenberger known";558;19;539;139;861
"4338";"5. Optimal adjusted";428;105;323;508;492
"4339";"1. Random";372;98;274;508;492
"4340";"6. Biased  coin";395;102;293;502;500
"4341";"2. Neyman known";408;84;324;441;559
"4342";"3. RSIHR Known";446;64;382;336;664
